group,filename,n,m,t,opt,lower,upper
goemans,g10-04.stp,29,148,16,-1,0,138
goemans,g10-05.stp,30,149,17,-1,0,139
goemans,g10-06.stp,31,150,18,-1,0,140
goemans,g10-07.stp,32,151,19,-1,0,141
goemans,g10-08.stp,33,152,20,-1,0,142
goemans,g10-09.stp,34,153,21,-1,0,143
goemans,g10-10.stp,35,154,22,-1,0,144
goemans,g10-11.stp,36,155,23,-1,0,145
goemans,g10-12.stp,37,156,24,-1,0,146
goemans,g10-13.stp,38,157,25,-1,0,147
goemans,g10-14.stp,39,158,26,-1,0,148
goemans,g10-15.stp,40,159,27,-1,0,149
goemans,g11-00.stp,27,169,13,-1,0,158
goemans,g11-01.stp,28,170,14,-1,0,159
goemans,g11-02.stp,29,171,15,-1,0,160
goemans,g11-03.stp,30,172,16,-1,0,161
goemans,g11-04.stp,31,173,17,-1,0,162
goemans,g11-05.stp,32,174,18,-1,0,163
goemans,g11-06.stp,33,175,19,-1,0,164
goemans,g11-07.stp,34,176,20,-1,0,165
goemans,g11-08.stp,35,177,21,-1,0,166
goemans,g11-09.stp,36,178,22,-1,0,167
goemans,g11-10.stp,37,179,23,-1,0,168
goemans,g11-11.stp,38,180,24,-1,0,169
goemans,g11-12.stp,39,181,25,-1,0,170
goemans,g11-13.stp,40,182,26,-1,0,171
goemans,g11-14.stp,41,183,27,-1,0,172
goemans,g11-15.stp,42,184,28,-1,0,173
goemans,g12-00.stp,29,196,14,-1,0,184
goemans,g12-01.stp,30,197,15,-1,0,185
goemans,g12-02.stp,31,198,16,-1,0,186
goemans,g12-03.stp,32,199,17,-1,0,187
goemans,g12-04.stp,33,200,18,-1,0,188
goemans,g12-05.stp,34,201,19,-1,0,189
goemans,g12-06.stp,35,202,20,-1,0,190
goemans,g12-07.stp,36,203,21,-1,0,191
goemans,g12-08.stp,37,204,22,-1,0,192
goemans,g12-09.stp,38,205,23,-1,0,193
goemans,g12-10.stp,39,206,24,-1,0,194
goemans,g12-11.stp,40,207,25,-1,0,195
goemans,g12-12.stp,41,208,26,-1,0,196
goemans,g12-13.stp,42,209,27,-1,0,197
goemans,g12-14.stp,43,210,28,-1,0,198
goemans,g12-15.stp,44,211,29,-1,0,199
goemans,g13-00.stp,31,225,15,-1,0,212
goemans,g13-01.stp,32,226,16,-1,0,213
goemans,g13-02.stp,33,227,17,-1,0,214
goemans,g13-03.stp,34,228,18,-1,0,215
goemans,g13-04.stp,35,229,19,-1,0,216
goemans,g13-05.stp,36,230,20,-1,0,217
goemans,g13-06.stp,37,231,21,-1,0,218
goemans,g13-07.stp,38,232,22,-1,0,219
goemans,g13-08.stp,39,233,23,-1,0,220
goemans,g13-09.stp,40,234,24,-1,0,221
goemans,g13-10.stp,41,235,25,-1,0,222
goemans,g13-11.stp,42,236,26,-1,0,223
goemans,g13-12.stp,43,237,27,-1,0,224
goemans,g13-13.stp,44,238,28,-1,0,225
goemans,g13-14.stp,45,239,29,-1,0,226
goemans,g13-15.stp,46,240,30,-1,0,227
goemans,g14-00.stp,33,256,16,-1,0,242
goemans,g14-01.stp,34,257,17,-1,0,243
goemans,g14-02.stp,35,258,18,-1,0,244
goemans,g14-03.stp,36,259,19,-1,0,245
goemans,g14-04.stp,37,260,20,-1,0,246
goemans,g14-05.stp,38,261,21,-1,0,247
goemans,g14-06.stp,39,262,22,-1,0,248
goemans,g14-07.stp,40,263,23,-1,0,249
goemans,g14-08.stp,41,264,24,-1,0,250
goemans,g14-09.stp,42,265,25,-1,0,251
goemans,g14-10.stp,43,266,26,-1,0,252
goemans,g14-11.stp,44,267,27,-1,0,253
goemans,g14-12.stp,45,268,28,-1,0,254
goemans,g14-13.stp,46,269,29,-1,0,255
goemans,g14-14.stp,47,270,30,-1,0,256
goemans,g14-15.stp,48,271,31,-1,0,257
goemans,g15-00.stp,35,289,17,-1,0,274
goemans,g15-01.stp,36,290,18,-1,0,275
goemans,g15-02.stp,37,291,19,-1,0,276
goemans,g15-03.stp,38,292,20,-1,0,277
goemans,g15-04.stp,39,293,21,-1,0,278
goemans,g15-05.stp,40,294,22,-1,0,279
goemans,g15-06.stp,41,295,23,-1,0,280
goemans,g15-07.stp,42,296,24,-1,0,281
goemans,g15-08.stp,43,297,25,-1,0,282
goemans,g15-09.stp,44,298,26,-1,0,283
goemans,g15-10.stp,45,299,27,-1,0,284
goemans,g15-11.stp,46,300,28,-1,0,285
goemans,g15-12.stp,47,301,29,-1,0,286
goemans,g15-13.stp,48,302,30,-1,0,287
goemans,g15-14.stp,49,303,31,-1,0,288
goemans,g15-15.stp,50,304,32,-1,0,289
skutella,s1.stp,15,35,8,-1,0,10
skutella,s2.stp,106,399,50,-1,0,73
skutella,s3.stp,743,2947,344,-1,0,514
skutella,s4.stp,5202,20783,2402,-1,0,3601
skutella,s5.stp,36415,145635,16808,-1,0,25210
smc,smc01.stp,2,1,1,-1,0,0
smc,smc02.stp,3,3,2,-1,0,2
smc,smc03.stp,4,6,3,-1,0,3
smc,smc04.stp,5,10,4,-1,0,4
smc,smc05.stp,6,15,5,-1,0,5
smc,smc06.stp,7,21,6,-1,0,6
smc,smc07.stp,8,28,7,-1,0,7
smc,smc08.stp,9,36,8,-1,0,8
smc,smc09.stp,10,45,9,-1,0,9
smc,smc10.stp,11,55,10,-1,0,10
smc,smc11.stp,12,66,11,-1,0,11
smc,smc12.stp,13,78,12,-1,0,12
smc,smc13.stp,14,91,13,-1,0,13
smc,smc14.stp,15,105,14,-1,0,14
smc,smc15.stp,16,120,15,-1,0,15
