group,filename,n,m,t,opt,lower,upper
csd,csd02.stp,3,2,1,-1,0,0
csd,csd03.stp,6,6,3,-1,0,4
csd,csd04.stp,10,12,6,-1,0,8
csd,csd05.stp,15,20,10,-1,0,13
csd,csd06.stp,21,30,15,-1,0,19
csd,csd07.stp,28,42,21,-1,0,26
csd,csd08.stp,36,56,28,-1,0,34
csd,csd09.stp,45,72,36,-1,0,43
csd,csd10.stp,55,90,45,-1,0,53
csd,csd11.stp,66,110,55,-1,0,64
csd,csd12.stp,78,132,66,-1,0,76
csd,csd13.stp,91,156,78,-1,0,89
csd,csd14.stp,105,182,91,-1,0,103
csd,csd15.stp,120,210,105,-1,0,118
goemans,g01-00.stp,7,9,3,-1,0,8
goemans,g01-01.stp,8,10,4,-1,0,9
goemans,g01-02.stp,9,11,5,-1,0,10
goemans,g01-03.stp,10,12,6,-1,0,11
goemans,g01-04.stp,11,13,7,-1,0,12
goemans,g01-05.stp,12,14,8,-1,0,13
goemans,g01-06.stp,13,15,9,-1,0,14
goemans,g01-07.stp,14,16,10,-1,0,15
goemans,g01-08.stp,15,17,11,-1,0,16
goemans,g01-09.stp,16,18,12,-1,0,17
goemans,g01-10.stp,17,19,13,-1,0,18
goemans,g01-11.stp,18,20,14,-1,0,19
goemans,g01-12.stp,19,21,15,-1,0,20
goemans,g01-13.stp,20,22,16,-1,0,21
goemans,g01-14.stp,21,23,17,-1,0,22
goemans,g01-15.stp,22,24,18,-1,0,23
goemans,g02-00.stp,9,16,4,-1,0,14
goemans,g02-01.stp,10,17,5,-1,0,15
goemans,g02-02.stp,11,18,6,-1,0,16
goemans,g02-03.stp,12,19,7,-1,0,17
goemans,g02-04.stp,13,20,8,-1,0,18
goemans,g02-05.stp,14,21,9,-1,0,19
goemans,g02-06.stp,15,22,10,-1,0,20
goemans,g02-07.stp,16,23,11,-1,0,21
goemans,g02-08.stp,17,24,12,-1,0,22
goemans,g02-09.stp,18,25,13,-1,0,23
goemans,g02-10.stp,19,26,14,-1,0,24
goemans,g02-11.stp,20,27,15,-1,0,25
goemans,g02-12.stp,21,28,16,-1,0,26
goemans,g02-13.stp,22,29,17,-1,0,27
goemans,g02-14.stp,23,30,18,-1,0,28
goemans,g02-15.stp,24,31,19,-1,0,29
goemans,g03-00.stp,11,25,5,-1,0,22
goemans,g03-01.stp,12,26,6,-1,0,23
goemans,g03-02.stp,13,27,7,-1,0,24
goemans,g03-03.stp,14,28,8,-1,0,25
goemans,g03-04.stp,15,29,9,-1,0,26
goemans,g03-05.stp,16,30,10,-1,0,27
goemans,g03-06.stp,17,31,11,-1,0,28
goemans,g03-07.stp,18,32,12,-1,0,29
goemans,g03-08.stp,19,33,13,-1,0,30
goemans,g03-09.stp,20,34,14,-1,0,31
goemans,g03-10.stp,21,35,15,-1,0,32
goemans,g03-11.stp,22,36,16,-1,0,33
goemans,g03-12.stp,23,37,17,-1,0,34
goemans,g03-13.stp,24,38,18,-1,0,35
goemans,g03-14.stp,25,39,19,-1,0,36
goemans,g03-15.stp,26,40,20,-1,0,37
goemans,g04-00.stp,13,36,6,-1,0,32
goemans,g04-01.stp,14,37,7,-1,0,33
goemans,g04-02.stp,15,38,8,-1,0,34
goemans,g04-03.stp,16,39,9,-1,0,35
goemans,g04-04.stp,17,40,10,-1,0,36
goemans,g04-05.stp,18,41,11,-1,0,37
goemans,g04-06.stp,19,42,12,-1,0,38
goemans,g04-07.stp,20,43,13,-1,0,39
goemans,g04-08.stp,21,44,14,-1,0,40
goemans,g04-09.stp,22,45,15,-1,0,41
goemans,g04-10.stp,23,46,16,-1,0,42
goemans,g04-11.stp,24,47,17,-1,0,43
goemans,g04-12.stp,25,48,18,-1,0,44
goemans,g04-13.stp,26,49,19,-1,0,45
goemans,g04-14.stp,27,50,20,-1,0,46
goemans,g04-15.stp,28,51,21,-1,0,47
goemans,g05-00.stp,15,49,7,-1,0,44
goemans,g05-01.stp,16,50,8,-1,0,45
goemans,g05-02.stp,17,51,9,-1,0,46
goemans,g05-03.stp,18,52,10,-1,0,47
goemans,g05-04.stp,19,53,11,-1,0,48
goemans,g05-05.stp,20,54,12,-1,0,49
goemans,g05-06.stp,21,55,13,-1,0,50
goemans,g05-07.stp,22,56,14,-1,0,51
goemans,g05-08.stp,23,57,15,-1,0,52
goemans,g05-09.stp,24,58,16,-1,0,53
goemans,g05-10.stp,25,59,17,-1,0,54
goemans,g05-11.stp,26,60,18,-1,0,55
goemans,g05-12.stp,27,61,19,-1,0,56
goemans,g05-13.stp,28,62,20,-1,0,57
goemans,g05-14.stp,29,63,21,-1,0,58
goemans,g05-15.stp,30,64,22,-1,0,59
goemans,g06-00.stp,17,64,8,-1,0,58
goemans,g06-01.stp,18,65,9,-1,0,59
goemans,g06-02.stp,19,66,10,-1,0,60
goemans,g06-03.stp,20,67,11,-1,0,61
goemans,g06-04.stp,21,68,12,-1,0,62
goemans,g06-05.stp,22,69,13,-1,0,63
goemans,g06-06.stp,23,70,14,-1,0,64
goemans,g06-07.stp,24,71,15,-1,0,65
goemans,g06-08.stp,25,72,16,-1,0,66
goemans,g06-09.stp,26,73,17,-1,0,67
goemans,g06-10.stp,27,74,18,-1,0,68
goemans,g06-11.stp,28,75,19,-1,0,69
goemans,g06-12.stp,29,76,20,-1,0,70
goemans,g06-13.stp,30,77,21,-1,0,71
goemans,g06-14.stp,31,78,22,-1,0,72
goemans,g06-15.stp,32,79,23,-1,0,73
goemans,g07-00.stp,19,81,9,-1,0,74
goemans,g07-01.stp,20,82,10,-1,0,75
goemans,g07-02.stp,21,83,11,-1,0,76
goemans,g07-03.stp,22,84,12,-1,0,77
goemans,g07-04.stp,23,85,13,-1,0,78
goemans,g07-05.stp,24,86,14,-1,0,79
goemans,g07-06.stp,25,87,15,-1,0,80
goemans,g07-07.stp,26,88,16,-1,0,81
goemans,g07-08.stp,27,89,17,-1,0,82
goemans,g07-09.stp,28,90,18,-1,0,83
goemans,g07-10.stp,29,91,19,-1,0,84
goemans,g07-11.stp,30,92,20,-1,0,85
goemans,g07-12.stp,31,93,21,-1,0,86
goemans,g07-13.stp,32,94,22,-1,0,87
goemans,g07-14.stp,33,95,23,-1,0,88
goemans,g07-15.stp,34,96,24,-1,0,89
goemans,g08-00.stp,21,100,10,-1,0,92
goemans,g08-01.stp,22,101,11,-1,0,93
goemans,g08-02.stp,23,102,12,-1,0,94
goemans,g08-03.stp,24,103,13,-1,0,95
goemans,g08-04.stp,25,104,14,-1,0,96
goemans,g08-05.stp,26,105,15,-1,0,97
goemans,g08-06.stp,27,106,16,-1,0,98
goemans,g08-07.stp,28,107,17,-1,0,99
goemans,g08-08.stp,29,108,18,-1,0,100
goemans,g08-09.stp,30,109,19,-1,0,101
goemans,g08-10.stp,31,110,20,-1,0,102
goemans,g08-11.stp,32,111,21,-1,0,103
goemans,g08-12.stp,33,112,22,-1,0,104
goemans,g08-13.stp,34,113,23,-1,0,105
goemans,g08-14.stp,35,114,24,-1,0,106
goemans,g08-15.stp,36,115,25,-1,0,107
goemans,g09-00.stp,23,121,11,-1,0,112
goemans,g09-01.stp,24,122,12,-1,0,113
goemans,g09-02.stp,25,123,13,-1,0,114
goemans,g09-03.stp,26,124,14,-1,0,115
goemans,g09-04.stp,27,125,15,-1,0,116
goemans,g09-05.stp,28,126,16,-1,0,117
goemans,g09-06.stp,29,127,17,-1,0,118
goemans,g09-07.stp,30,128,18,-1,0,119
goemans,g09-08.stp,31,129,19,-1,0,120
goemans,g09-09.stp,32,130,20,-1,0,121
goemans,g09-10.stp,33,131,21,-1,0,122
goemans,g09-11.stp,34,132,22,-1,0,123
goemans,g09-12.stp,35,133,23,-1,0,124
goemans,g09-13.stp,36,134,24,-1,0,125
goemans,g09-14.stp,37,135,25,-1,0,126
goemans,g09-15.stp,38,136,26,-1,0,127
goemans,g10-00.stp,25,144,12,-1,0,134
goemans,g10-01.stp,26,145,13,-1,0,135
goemans,g10-02.stp,27,146,14,-1,0,136
goemans,g10-03.stp,28,147,15,-1,0,137
